# memories of me — time map
# Every visible element in the master (content-signature segmentation, 29.97fps)
# with the cue(s) that render it. The two film passages read as (film / panel).

#    src s    src e    f0    f1   rendered by

   0.000    0.834     0    24   "memories of me" + "clay and kelsy"
   0.834    1.335    25    39   "made by clay"
   1.335    3.670    40   109   FILM:film-a.mp4
   3.670    3.837   110   114   FILM:film-a.mp4
   3.837    5.439   115   162   FILM:film-a.mp4
   5.439    6.073   163   181   FILM:film-a.mp4
   6.073    8.342   182   249   FILM:film-a.mp4
   8.342    8.742   250   261   FILM:film-a.mp4
   8.742   21.822   262   653   FILM:film-a.mp4
  21.822   22.689   654   679   FILM:film-a.mp4
  22.689   22.856   680   684   FILM:film-a.mp4
  22.856   23.323   685   698   FILM:film-a.mp4
  23.323   23.790   699   712   "all"
  23.790   23.957   713   717   "around\nall"
  23.957   24.124   718   722   "around\nall\naround"
  24.124   24.291   723   727   "around\nall\naround"
  24.291   24.925   728   746   "around  all  around\naround"
  25.893   26.026   776   779   "memories of me" + "memories of me" + "memories of me"
  26.026   26.159   780   783   "memories of me" + "memories of me" + "memories of me"
  26.159   26.894   784   805   "memories of me" + "memories of me" + "memories of me"
  26.894   27.060   806   810   "memories of me"
  27.060   27.227   811   815   "memories of me"
  28.529   28.695   855   859   "lost" [flicker] + " and found"
  28.695   28.762   860   861   "lost" [flicker] + " and found"
  28.762   28.996   862   868   "lost" [flicker] + " and found"
  28.996   29.029   869   869   "lost" [flicker] + " and found"
  29.029   29.096   870   871   "lost" [flicker] + " and found"
  29.096   29.263   872   876   "lost" [flicker] + " and found"
  29.263   29.596   877   886   "lost" [flicker] + " and found"
  29.596   29.663   887   888   "lost" [flicker] + " and found"
  29.663   29.796   889   892   "lost" [flicker] + " and found"
  30.430   30.731   912   920   "all the pieces" [type]
  30.731   31.031   921   929   "all the pieces" [type]
  31.031   31.365   930   939   "all the pieces" [type]
  31.365   31.698   940   949   "all the pieces" [type]
  31.698   31.999   950   958   "that"
  31.999   32.299   959   967   "that" + "that we"
  33.634   33.934  1008  1016   "talked"
  33.934   34.234  1017  1025   "talked"
  34.234   34.701  1026  1039   "about"
  35.903   36.203  1076  1084   "but"
  36.203   36.837  1085  1103   "but didn't complete" [type]
  36.837   37.638  1104  1127   "but didn't complete" [type]
  38.872   39.273  1165  1176   "wish"
  39.273   39.473  1177  1182   "me"
  39.473   40.140  1183  1202   "well"
  41.041   41.341  1230  1238   "cause"
  41.341   41.642  1239  1247   "cause i"
  41.642   41.942  1248  1256   "cause i still"
  41.942   42.609  1257  1276   "can't see"
  43.944   46.547  1317  1394   FILM:film-b.mp4
  46.547   48.048  1395  1439   FILM:film-b.mp4
  49.116   51.718  1472  1549   FILM:film-b.mp4
  51.718   52.052  1550  1559   "nothing else" [type]
  52.052   52.386  1560  1569   "nothing else" [type]
  52.386   52.686  1570  1578   "nothing else" [type]
  52.686   53.921  1579  1615   "nothing else" [type]
  53.987   54.488  1618  1632   "but my defeat"
  56.590   56.657  1696  1697   "NOTHING ELSE" [type] + "·"
  56.657   56.723  1698  1699   "NOTHING ELSE" [type] + "·"
  56.723   56.790  1700  1701   "NOTHING ELSE" [type] + "·"
  56.790   56.857  1702  1703   "NOTHING ELSE" [type] + "·"
  56.857   56.924  1704  1705   "NOTHING ELSE" [type] + "·"
  56.924   56.990  1706  1707   "NOTHING ELSE" [type] + "·"
  56.990   57.057  1708  1709   "NOT EVEN ME" [type] + "·"
  57.057   57.124  1710  1711   "NOT EVEN ME" [type] + "·"
  57.124   57.190  1712  1713   "NOT EVEN ME" [type] + "·"
  57.190   57.257  1714  1715   "NOT EVEN ME" [type] + "·"
  57.257   57.324  1716  1717   "NOT EVEN ME" [type] + "·"
  57.324   57.391  1718  1719   "NOT EVEN ME" [type] + "·"
  57.391   57.457  1720  1721   "NOT EVEN ME" [type] + "·"
  57.457   57.524  1722  1723   "NOT EVEN ME" [type] + "·"
  57.524   57.591  1724  1725   "NOT EVEN ME" [type] + "·"
  57.591   57.658  1726  1727   "NOT EVEN ME" [type] + "·"
  57.658   57.724  1728  1729   "NOT EVEN ME" [type] + "·"
  57.724   57.791  1730  1731   "NOT EVEN ME" [type] + "·"
  57.791   57.858  1732  1733   "NOT EVEN ME" [type] + "·"
  57.858   57.925  1734  1735   "NOT EVEN ME" [type] + "·"
  57.925   57.991  1736  1737   "NOT EVEN ME" [type] + "·"
  57.991   58.058  1738  1739   "NOT EVEN ME" [type] + "·"
  58.058   58.125  1740  1741   "NOT EVEN ME" [type] + "·"
  58.125   58.191  1742  1743   "NOT EVEN ME" [type] + "·"
  58.191   58.258  1744  1745   "NOT EVEN ME" [type] + "·"
  58.258   58.325  1746  1747   "NOT EVEN ME" [type] + "·"
  59.426   59.526  1781  1783   "i can't see" + "·"
  59.526   60.160  1784  1802   "i can't see" + "·"
  60.160   60.260  1803  1805   "i can't see"
  61.862   62.529  1854  1873   "memories" + "memories"
  62.529   62.829  1874  1882   "memories" [sink]
  62.829   62.863  1883  1883   "memories" [sink]
  62.863   62.896  1884  1884   "memories" [sink]
  62.896   62.930  1885  1885   "memories" [sink]
  62.930   62.963  1886  1886   "memories" [sink]
  62.963   62.996  1887  1887   "memories" [sink]
  62.996   63.030  1888  1888   "memories" [sink]
  63.030   63.063  1889  1889   "memories" [sink]
  64.197   64.598  1924  1935   "become" [type] + "so"
  64.598   65.299  1936  1956   "become" [type] + "so"
  65.299   65.999  1957  1977   "become" [type] + "so"
  67.100   68.035  2011  2038   "debris" + "enemies?"
